Title,Year,Rated,Month_Release,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,BoxOffice,Production
Gilda,1946,Approved,Apr,110,"Drama, Film-Noir, Romance, Thriller",Charles Vidor,"Rita Hayworth, Glenn Ford, George Macready, Joseph Calleia",A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,"English, Spanish, French, German",USA,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",7.7,27619,tt0038559,N/A,Columbia Pictures Corporation
Great Expectations,1946,Approved,May,118,"Adventure, Drama, Mystery, Romance",David Lean,"John Mills, Tony Wager, Valerie Hobson, Jean Simmons",A humble orphan suddenly becomes a gentleman with the help of an unknown benefactor.,English,UK,Won 2 Oscars. Another 1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",7.8,21733,tt0038574,N/A,Cineguild
It's a Wonderful Life,1946,PG,Jan,130,"Drama, Family, Fantasy",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"English, French",USA,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",8.6,391743,tt0038650,N/A,"RKO Radio Pictures Inc., Liberty Films"
The Killers,1946,Passed,Aug,103,"Crime, Drama, Film-Noir, Mystery",Robert Siodmak,"Burt Lancaster, Ava Gardner, Edmond O'Brien, Albert Dekker","Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins.",English,USA,Nominated for 4 Oscars. Another 3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.8,18669,tt0038669,N/A,Mark Hellinger Productions
A Matter of Life and Death,1946,PG,Mar,104,"Comedy, Drama, Fantasy, Romance, War","Michael Powell, Emeric Pressburger","David Niven, Kim Hunter, Robert Coote, Kathleen Byron",A British wartime aviator who cheats death must argue for his life before a celestial court.,"English, French, Russian",UK,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",8.1,18868,tt0038733,N/A,The Archers
My Darling Clementine,1946,Not Rated,Nov,97,"Biography, Drama, Western",John Ford,"Henry Fonda, Linda Darnell, Victor Mature, Cathy Downs","The Earps battle the Clantons at the OK Corral in Tombstone, Arizona.","English, Spanish",USA,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.8,21319,tt0038762,N/A,20th Century Fox
Notorious,1946,Not Rated,Sep,102,"Drama, Film-Noir, Romance, Thriller",Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,"English, French, Portuguese",USA,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",7.9,91159,tt0038787,N/A,"RKO Radio Pictures Inc., Vanguard Films Production"
Paisan,1946,Not Rated,Mar,120,"Drama, War",Roberto Rossellini,"Carmela Sazio, Robert Van Loon, Benjamin Emanuel, Raymond Campbell",The language barrier has tragic consequences in a series of unrelated stories set during the Italian Campaign of WWII.,"Italian, English, German, Sicilian",Italy,Nominated for 1 Oscar. Another 10 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.7,7235,tt0038823,N/A,Organizzazione Film Internazionali (OFI)
The Postman Always Rings Twice,1946,Passed,Sep,113,"Crime, Drama, Film-Noir, Mystery, Romance, Thriller",Tay Garnett,"Lana Turner, John Garfield, Cecil Kellaway, Hume Cronyn","A married woman and a drifter fall in love, then plot to murder her husband.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",7.5,18196,tt0038854,N/A,Metro Goldwyn Mayer
Black Narcissus,1947,Not Rated,Dec,101,Drama,"Michael Powell, Emeric Pressburger","Deborah Kerr, Flora Robson, Jenny Laird, Judith Furse","A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.",English,UK,Won 2 Oscars. Another 3 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.8,21046,tt0039192,N/A,The Archers
Monsieur Verdoux,1947,Passed,Dec,124,"Comedy, Crime, Drama",Charles Chaplin,"Charles Chaplin, Mady Correll, Allison Roddan, Robert Lewis","A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards.",English,USA,Nominated for 1 Oscar. Another 5 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.9,15671,tt0039631,N/A,United Artists
Odd Man Out,1947,Not Rated,Apr,116,"Crime, Drama, Thriller",Carol Reed,"James Mason, Robert Newton, Cyril Cusack, F.J. McCormick",A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.,English,UK,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.7,8858,tt0039677,N/A,Two Cities Films Ltd.
