Title,Year,Rated,Month_Release,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,BoxOffice,Production
Mr. Deeds Goes to Town,1936,Not Rated,Apr,115,"Comedy, Drama, Romance",Frank Capra,"Gary Cooper, Jean Arthur, George Bancroft, Lionel Stander",A simple small-town man inherits a massive fortune and is immediately hounded by those who wish to take advantage of him.,English,USA,Won 1 Oscar. Another 4 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",7.9,19460,tt0027996,N/A,Columbia Pictures Corporation
My Man Godfrey,1936,Not Rated,Sep,94,"Comedy, Drama, Romance",Gregory La Cava,"William Powell, Carole Lombard, Alice Brady, Gail Patrick",A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,"English, Russian",USA,Nominated for 6 Oscars. Another 1 win.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",8,20661,tt0028010,N/A,Universal Pictures
Swing Time,1936,Not Rated,Oct,103,"Comedy, Musical, Romance",George Stevens,"Fred Astaire, Ginger Rogers, Victor Moore, Helen Broderick","Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks.","English, French",USA,Won 1 Oscar. Another 1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",7.6,12057,tt0028333,N/A,RKO Radio Pictures Inc.
The Story of a Cheat,1936,N/A,Sep,81,Comedy,Sacha Guitry,"Sacha Guitry, Adolphe Borchard, Marcel Lucien, Raymond Clunie","A charming scoundrel reflects on his exploits, from childhood through to manhood.",French,France,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",7.6,1750,tt0028201,N/A,Cinéas
Things to Come,1936,Not Rated,Sep,100,"Drama, Sci-Fi, War",William Cameron Menzies,"Raymond Massey, Edward Chapman, Ralph Richardson, Margaretta Scott","The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel.",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",6.7,6956,tt0028358,N/A,London Film Production
The Awful Truth,1937,Passed,Oct,90,"Comedy, Romance",Leo McCarey,"Irene Dunne, Cary Grant, Ralph Bellamy, Alexander D'Arcy","A married couple file an amicable divorce, but find it harder to let go of each other than they initially thought.","English, French, Italian",USA,Won 1 Oscar. Another 2 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",7.7,17239,tt0028597,N/A,Columbia Pictures Corporation
Captains Courageous,1937,G,Jun,117,"Adventure, Drama, Family",Victor Fleming,"Freddie Bartholomew, Spencer Tracy, Lionel Barrymore, Melvyn Douglas","A spoiled brat who falls overboard from a steamship gets picked up by a fishing boat, where he's made to earn his keep by joining the crew in their work.","English, Portuguese",USA,Won 1 Oscar. Another 2 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",8,8589,tt0028691,N/A,Metro-Goldwyn-Mayer
La Grande Illusion,1937,Not Rated,Sep,113,"Drama, War",Jean Renoir,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","French, German, English, Russian",France,Nominated for 1 Oscar. Another 6 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",8.1,33360,tt0028950,N/A,R.A.C.
The Life of Emile Zola,1937,Passed,Oct,116,"Biography, Drama",William Dieterle,"Paul Muni, Gale Sondergaard, Joseph Schildkraut, Gloria Holden",The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfuss Affair.,English,USA,Won 3 Oscars. Another 5 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",7.2,7033,tt0029146,N/A,Warner Brothers
Make Way for Tomorrow,1937,Passed,Jul,91,"Comedy, Drama, Romance",Leo McCarey,"Beulah Bondi, Victor Moore, Fay Bainter, Thomas Mitchell",An elderly couple are forced to separate when they lose their house and none of their five children will take both parents in.,English,USA,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",8.2,7009,tt0029192,N/A,Paramount
